"Label (Grouping)","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Married-couple family household!!Estimate","Arlington County, Virginia!!Married-couple family household!!Margin of Error","Arlington County, Virginia!!Male householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Female householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Nonfamily household!!Estimate","Arlington County, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","114,097","±2,441","42,925","±2,823","2,220","±883","4,976","±1,295","63,976","±3,238"
"    Average household size","2.03","±0.04","3.01","±0.11","2.95","±0.60","2.69","±0.32","1.28","±0.04"
"FAMILIES","","","","","","","","","",""
"    Total families","50,121","±3,010","42,925","±2,823","2,220","±883","4,976","±1,295","(X)","(X)"
"    Average family size","2.93","±0.10","2.97","±0.10","2.79","±0.58","2.57","±0.29","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","21,460","±2,070","18,496","±1,894","579","±331","2,385","±919","(X)","(X)"
"        Under 6 years only","26.4%","±5.6","28.3%","±6.1","5.5%","±9.1","16.6%","±13.8","(X)","(X)"
"        Under 6 years and 6 to 17 years","17.9%","±4.4","16.8%","±4.6","30.4%","±43.4","23.1%","±18.4","(X)","(X)"
"        6 to 17 years only","55.8%","±6.1","54.9%","±6.0","64.1%","±42.8","60.3%","±21.7","(X)","(X)"
"Total households","114,097","±2,441","42,925","±2,823","2,220","±883","4,976","±1,295","63,976","±3,238"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","19.9%","±1.8","44.2%","±3.3","40.1%","±17.0","54.9%","±11.7","0.3%","±0.3"
"        Households with one or more people 60 years and over","25.5%","±1.2","32.6%","±3.1","34.3%","±20.2","24.3%","±10.8","20.6%","±2.5"
"        Households with one or more people 65 years and over","18.7%","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","16.0%","±2.1"
"        Householder living alone","41.7%","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","74.3%","±2.8"
"            65 years and over","8.3%","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","14.8%","±2.2"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","34.4%","±1.9","60.9%","±4.0","36.1%","±15.3","41.0%","±14.6","16.1%","±2.2"
"        2-or-more-unit structures","65.4%","±1.9","38.9%","±4.1","63.9%","±15.3","57.1%","±14.4","83.8%","±2.2"
"        Mobile homes and all other types of units","0.2%","±0.2","0.2%","±0.4","0.0%","±8.3","1.9%","±3.1","0.1%","±0.2"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","41.1%","±1.8","65.8%","±3.6","34.0%","±17.2","37.3%","±14.8","25.0%","±2.7"
"        Renter-occupied housing units","58.9%","±1.8","34.2%","±3.6","66.0%","±17.2","62.7%","±14.8","75.0%","±2.7"
