"Label (Grouping)","Herndon town, Virginia!!Total!!Estimate","Herndon town, Virginia!!Total!!Margin of Error","Herndon town, Virginia!!Married-couple family household!!Estimate","Herndon town, Virginia!!Married-couple family household!!Margin of Error","Herndon town, Virginia!!Male householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Female householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Nonfamily household!!Estimate","Herndon town, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","7,796","±360","4,491","±340","484","±163","773","±185","2,048","±306"
"    Average household size","3.16","±0.15","3.68","±0.18","3.98","±0.93","3.95","±0.44","1.55","±0.20"
"FAMILIES","","","","","","","","","",""
"    Total families","5,748","±292","4,491","±340","484","±163","773","±185","(X)","(X)"
"    Average family size","3.50","±0.16","3.52","±0.19","3.18","±0.51","3.60","±0.36","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","2,544","±249","2,007","±270","220","±128","317","±136","(X)","(X)"
"        Under 6 years only","26.1%","±6.3","26.7%","±7.0","8.2%","±10.1","34.7%","±27.9","(X)","(X)"
"        Under 6 years and 6 to 17 years","27.6%","±7.2","27.9%","±7.4","35.0%","±27.9","20.5%","±15.8","(X)","(X)"
"        6 to 17 years only","46.3%","±7.7","45.4%","±8.7","56.8%","±27.7","44.8%","±22.1","(X)","(X)"
"Total households","7,796","±360","4,491","±340","484","±163","773","±185","2,048","±306"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","35.2%","±3.3","47.0%","±5.3","45.5%","±18.1","49.2%","±14.1","1.5%","±1.7"
"        Households with one or more people 60 years and over","31.0%","±2.9","31.5%","±4.1","41.5%","±18.1","27.6%","±10.3","28.9%","±5.3"
"        Households with one or more people 65 years and over","22.0%","±1.9","(X)","(X)","(X)","(X)","(X)","(X)","23.4%","±5.0"
"        Householder living alone","18.0%","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","68.7%","±7.6"
"            65 years and over","5.3%","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","20.3%","±4.9"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","72.2%","±2.7","85.9%","±3.1","74.8%","±14.4","56.1%","±13.2","47.5%","±5.8"
"        2-or-more-unit structures","27.8%","±2.7","14.1%","±3.1","25.2%","±14.4","43.9%","±13.2","52.5%","±5.8"
"        Mobile homes and all other types of units","0.0%","±0.5","0.0%","±0.9","0.0%","±7.9","0.0%","±5.0","0.0%","±1.9"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","62.1%","±3.9","72.0%","±5.2","40.9%","±14.1","46.4%","±12.3","51.2%","±7.4"
"        Renter-occupied housing units","37.9%","±3.9","28.0%","±5.2","59.1%","±14.1","53.6%","±12.3","48.8%","±7.4"
