"Label (Grouping)","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Married-couple family household!!Estimate","Virginia!!Married-couple family household!!Margin of Error","Virginia!!Male householder, no spouse present, family household!!Estimate","Virginia!!Male householder, no spouse present, family household!!Margin of Error","Virginia!!Female householder, no spouse present, family household!!Estimate","Virginia!!Female householder, no spouse present, family household!!Margin of Error","Virginia!!Nonfamily household!!Estimate","Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","3,449,307","±12,826","1,664,649","±16,753","158,325","±7,013","408,574","±11,336","1,217,759","±15,623"
"    Average household size","2.49","±0.01","3.16","±0.02","3.18","±0.08","3.16","±0.05","1.25","±0.01"
"FAMILIES","","","","","","","","","",""
"    Total families","2,231,548","±16,536","1,664,649","±16,753","158,325","±7,013","408,574","±11,336","(X)","(X)"
"    Average family size","3.08","±0.02","3.13","±0.02","2.81","±0.07","2.95","±0.05","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","911,794","±12,659","647,143","±11,152","71,279","±4,698","193,372","±8,712","(X)","(X)"
"        Under 6 years only","21.0%","±0.8","22.7%","±1.0","22.0%","±2.9","14.7%","±1.8","(X)","(X)"
"        Under 6 years and 6 to 17 years","19.9%","±0.9","21.4%","±1.1","14.8%","±2.9","17.0%","±1.9","(X)","(X)"
"        6 to 17 years only","59.1%","±1.0","55.9%","±1.2","63.2%","±3.9","68.2%","±2.2","(X)","(X)"
"Total households","3,449,307","±12,826","1,664,649","±16,753","158,325","±7,013","408,574","±11,336","1,217,759","±15,623"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","29.4%","±0.4","41.3%","±0.6","53.7%","±2.6","57.2%","±1.5","0.6%","±0.1"
"        Households with one or more people 60 years and over","42.0%","±0.3","42.0%","±0.4","32.4%","±2.1","35.1%","±1.2","45.6%","±0.8"
"        Households with one or more people 65 years and over","32.1%","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","35.6%","±0.7"
"        Householder living alone","28.7%","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","81.2%","±0.6"
"            65 years and over","11.6%","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","32.7%","±0.6"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","73.1%","±0.4","87.9%","±0.4","73.8%","±2.3","67.3%","±1.4","54.6%","±0.7"
"        2-or-more-unit structures","22.9%","±0.4","9.2%","±0.3","20.7%","±2.0","26.3%","±1.4","40.7%","±0.7"
"        Mobile homes and all other types of units","4.1%","±0.2","2.9%","±0.2","5.4%","±1.0","6.4%","±0.8","4.6%","±0.4"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","67.1%","±0.5","82.9%","±0.5","60.6%","±2.4","51.8%","±1.6","51.6%","±0.8"
"        Renter-occupied housing units","32.9%","±0.5","17.1%","±0.5","39.4%","±2.4","48.2%","±1.6","48.4%","±0.8"
