"Label (Grouping)","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Married-couple family household!!Estimate","Arlington County, Virginia!!Married-couple family household!!Margin of Error","Arlington County, Virginia!!Male householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Female householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Nonfamily household!!Estimate","Arlington County, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","108,396","±2,209","40,178","±2,704","2,847","±873","5,547","±1,143","59,824","±2,716"
"    Average household size","2.12","±0.04","3.12","±0.11","3.53","±0.67","2.72","±0.31","1.32","±0.04"
"FAMILIES","","","","","","","","","",""
"    Total families","48,572","±2,830","40,178","±2,704","2,847","±873","5,547","±1,143","(X)","(X)"
"    Average family size","3.02","±0.12","3.09","±0.11","3.00","±0.61","2.54","±0.28","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","23,702","±1,988","19,442","±1,913","1,441","±676","2,819","±843","(X)","(X)"
"        Under 6 years only","25.6%","±4.5","29.2%","±5.3","10.4%","±13.8","8.8%","±6.8","(X)","(X)"
"        Under 6 years and 6 to 17 years","18.6%","±4.7","19.8%","±5.0","31.8%","±33.4","3.1%","±5.0","(X)","(X)"
"        6 to 17 years only","55.8%","±4.9","51.0%","±5.7","57.8%","±27.0","88.1%","±6.9","(X)","(X)"
"Total households","108,396","±2,209","40,178","±2,704","2,847","±873","5,547","±1,143","59,824","±2,716"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","22.3%","±1.7","49.4%","±3.5","50.6%","±15.4","51.8%","±10.6","0.1%","±0.2"
"        Households with one or more people 60 years and over","24.9%","±1.3","26.9%","±2.5","36.6%","±15.4","26.8%","±9.8","22.8%","±2.5"
"        Households with one or more people 65 year and over","18.2%","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","17.0%","±2.2"
"        Householder living alone","41.7%","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","75.6%","±2.9"
"            65 years and over","8.7%","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","15.8%","±2.3"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","37.1%","±2.0","63.7%","±4.3","50.3%","±18.2","37.8%","±11.8","18.5%","±2.8"
"        2-or-more-unit structures","62.7%","±2.0","36.3%","±4.3","49.7%","±18.2","58.6%","±12.0","81.5%","±2.8"
"        Mobile homes and all other types of units","0.2%","±0.3","0.0%","±0.5","0.0%","±6.5","3.6%","±5.7","0.0%","±0.3"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","43.9%","±2.3","65.0%","±4.1","46.6%","±19.7","32.0%","±10.3","30.7%","±3.0"
"        Renter-occupied housing units","56.1%","±2.3","35.0%","±4.1","53.4%","±19.7","68.0%","±10.3","69.3%","±3.0"
