"Label (Grouping)","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Married-couple family household!!Estimate","Virginia!!Married-couple family household!!Margin of Error","Virginia!!Male householder, no spouse present, family household!!Estimate","Virginia!!Male householder, no spouse present, family household!!Margin of Error","Virginia!!Female householder, no spouse present, family household!!Estimate","Virginia!!Female householder, no spouse present, family household!!Margin of Error","Virginia!!Nonfamily household!!Estimate","Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","3,331,461","±10,153","1,629,590","±14,724","153,061","±7,123","382,293","±8,787","1,166,517","±15,764"
"    Average household size","2.52","±0.01","3.19","±0.02","3.22","±0.08","3.26","±0.05","1.26","±0.01"
"FAMILIES","","","","","","","","","",""
"    Total families","2,164,944","±15,536","1,629,590","±14,724","153,061","±7,123","382,293","±8,787","(X)","(X)"
"    Average family size","3.12","±0.02","3.16","±0.02","2.83","±0.07","3.06","±0.04","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","900,244","±12,309","638,495","±10,078","70,809","±5,188","190,940","±7,630","(X)","(X)"
"        Under 6 years only","21.5%","±0.8","22.9%","±0.9","24.1%","±3.2","15.5%","±1.8","(X)","(X)"
"        Under 6 years and 6 to 17 years","19.3%","±0.8","20.0%","±0.9","16.1%","±2.6","18.2%","±1.8","(X)","(X)"
"        6 to 17 years only","59.2%","±0.8","57.0%","±1.0","59.7%","±3.0","66.3%","±2.3","(X)","(X)"
"Total households","3,331,461","±10,153","1,629,590","±14,724","153,061","±7,123","382,293","±8,787","1,166,517","±15,764"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","30.1%","±0.4","41.9%","±0.5","53.8%","±2.3","60.5%","±1.5","0.6%","±0.1"
"        Households with one or more people 60 years and over","40.4%","±0.4","40.9%","±0.4","33.4%","±2.4","32.0%","±1.1","43.4%","±0.8"
"        Households with one or more people 65 year and over","30.2%","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","33.9%","±0.6"
"        Householder living alone","28.3%","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","80.8%","±0.6"
"            65 years and over","10.9%","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","31.2%","±0.6"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","73.9%","±0.4","88.4%","±0.4","75.5%","±2.2","66.8%","±1.7","55.7%","±0.7"
"        2-or-more-unit structures","22.4%","±0.3","8.7%","±0.3","19.1%","±2.1","27.8%","±1.5","40.1%","±0.7"
"        Mobile homes and all other types of units","3.7%","±0.2","2.9%","±0.2","5.4%","±1.0","5.3%","±0.6","4.1%","±0.3"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","67.6%","±0.4","83.3%","±0.5","60.6%","±2.6","49.5%","±1.4","52.5%","±0.9"
"        Renter-occupied housing units","32.4%","±0.4","16.7%","±0.5","39.4%","±2.6","50.5%","±1.4","47.5%","±0.9"
