"Label (Grouping)","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Married-couple family household!!Estimate","Arlington County, Virginia!!Married-couple family household!!Margin of Error","Arlington County, Virginia!!Male householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Female householder, no spouse present, family household!!Estimate","Arlington County, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Arlington County, Virginia!!Nonfamily household!!Estimate","Arlington County, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","113,562","±2,431","42,032","±2,419","2,707","±882","5,757","±1,235","63,066","±2,826"
"    Average household size","2.09","±0.04","3.03","±0.08","3.43","±0.55","2.73","±0.33","1.34","±0.04"
"FAMILIES","","","","","","","","","",""
"    Total families","50,496","±2,226","42,032","±2,419","2,707","±882","5,757","±1,235","(X)","(X)"
"    Average family size","2.94","±0.09","2.99","±0.08","2.88","±0.40","2.58","±0.31","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","22,801","±1,879","18,964","±1,893","1,373","±685","2,464","±789","(X)","(X)"
"        Under 6 years only","26.0%","±4.7","28.7%","±5.7","17.4%","±16.7","10.1%","±9.0","(X)","(X)"
"        Under 6 years and 6 to 17 years","20.5%","±4.9","22.1%","±5.7","10.2%","±14.6","14.4%","±11.4","(X)","(X)"
"        6 to 17 years only","53.5%","±5.2","49.3%","±6.1","72.4%","±20.5","75.4%","±12.6","(X)","(X)"
"Total households","113,562","±2,431","42,032","±2,419","2,707","±882","5,757","±1,235","63,066","±2,826"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","21.6%","±1.7","47.4%","±3.8","58.4%","±18.1","50.1%","±11.5","0.3%","±0.3"
"        Households with one or more people 60 years and over","26.3%","±1.4","29.0%","±3.1","20.4%","±14.5","31.6%","±9.1","24.3%","±2.7"
"        Households with one or more people 65 years and over","18.9%","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","18.3%","±2.0"
"        Householder living alone","41.7%","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","75.2%","±3.2"
"            65 years and over","9.2%","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","16.6%","±2.1"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","33.8%","±2.1","57.2%","±4.4","34.4%","±17.6","53.3%","±10.4","16.4%","±2.4"
"        2-or-more-unit structures","66.0%","±2.1","42.6%","±4.4","65.6%","±17.6","45.5%","±10.4","83.4%","±2.4"
"        Mobile homes and all other types of units","0.3%","±0.3","0.2%","±0.4","0.0%","±6.9","1.2%","±2.0","0.3%","±0.4"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","38.8%","±2.3","57.6%","±3.8","24.3%","±16.5","50.0%","±13.1","25.9%","±3.0"
"        Renter-occupied housing units","61.2%","±2.3","42.4%","±3.8","75.7%","±16.5","50.0%","±13.1","74.1%","±3.0"
