"Label (Grouping)","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Married-couple family household!!Estimate","Virginia!!Married-couple family household!!Margin of Error","Virginia!!Male householder, no spouse present, family household!!Estimate","Virginia!!Male householder, no spouse present, family household!!Margin of Error","Virginia!!Female householder, no spouse present, family household!!Estimate","Virginia!!Female householder, no spouse present, family household!!Margin of Error","Virginia!!Nonfamily household!!Estimate","Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","3,380,607","±12,353","1,642,002","±15,837","158,347","±7,858","391,567","±9,870","1,188,691","±14,344"
"    Average household size","2.50","±0.01","3.16","±0.02","3.14","±0.08","3.24","±0.05","1.26","±0.01"
"FAMILIES","","","","","","","","","",""
"    Total families","2,191,916","±15,569","1,642,002","±15,837","158,347","±7,858","391,567","±9,870","(X)","(X)"
"    Average family size","3.08","±0.02","3.13","±0.02","2.80","±0.07","3.02","±0.04","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","903,825","±12,564","635,505","±10,912","72,934","±5,260","195,386","±7,673","(X)","(X)"
"        Under 6 years only","21.6%","±0.7","22.7%","±0.8","19.7%","±2.8","18.5%","±1.5","(X)","(X)"
"        Under 6 years and 6 to 17 years","19.1%","±0.7","20.0%","±0.9","15.5%","±3.2","17.5%","±1.7","(X)","(X)"
"        6 to 17 years only","59.3%","±0.9","57.3%","±1.0","64.8%","±3.8","64.0%","±2.1","(X)","(X)"
"Total households","3,380,607","±12,353","1,642,002","±15,837","158,347","±7,858","391,567","±9,870","1,188,691","±14,344"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","29.8%","±0.4","41.4%","±0.6","54.3%","±2.7","59.6%","±1.2","0.7%","±0.2"
"        Households with one or more people 60 years and over","40.7%","±0.3","41.4%","±0.5","32.2%","±2.2","33.0%","±1.3","43.3%","±0.6"
"        Households with one or more people 65 years and over","30.8%","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","33.7%","±0.7"
"        Householder living alone","28.2%","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","80.2%","±0.7"
"            65 years and over","10.8%","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","30.8%","±0.6"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","73.4%","±0.3","88.1%","±0.4","71.0%","±1.9","67.8%","±1.4","55.3%","±0.7"
"        2-or-more-unit structures","22.7%","±0.3","9.0%","±0.4","22.7%","±2.1","27.2%","±1.4","40.1%","±0.7"
"        Mobile homes and all other types of units","3.9%","±0.2","2.9%","±0.2","6.3%","±1.0","5.0%","±0.6","4.6%","±0.3"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","67.4%","±0.4","83.3%","±0.6","56.3%","±2.3","51.2%","±1.5","52.2%","±0.9"
"        Renter-occupied housing units","32.6%","±0.4","16.7%","±0.6","43.7%","±2.3","48.8%","±1.5","47.8%","±0.9"
