"Label (Grouping)","Herndon town, Virginia!!Total!!Estimate","Herndon town, Virginia!!Total!!Margin of Error","Herndon town, Virginia!!Married-couple family household!!Estimate","Herndon town, Virginia!!Married-couple family household!!Margin of Error","Herndon town, Virginia!!Male householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Female householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Nonfamily household!!Estimate","Herndon town, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","7,897","±375","4,559","±326","523","±168","603","±164","2,212","±354"
"    Average household size","3.10","±0.15","3.70","±0.19","3.75","±0.56","3.97","±0.57","1.45","±0.10"
"FAMILIES","","","","","","","","","",""
"    Total families","5,685","±290","4,559","±326","523","±168","603","±164","(X)","(X)"
"    Average family size","3.53","±0.15","3.53","±0.17","3.35","±0.47","3.62","±0.48","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","2,619","±256","2,066","±288","183","±105","370","±144","(X)","(X)"
"        Under 6 years only","27.8%","±6.7","26.9%","±7.0","14.8%","±18.7","38.9%","±22.7","(X)","(X)"
"        Under 6 years and 6 to 17 years","23.0%","±6.0","22.7%","±6.3","43.7%","±28.4","14.6%","±11.9","(X)","(X)"
"        6 to 17 years only","49.3%","±7.2","50.4%","±8.4","41.5%","±24.0","46.5%","±18.4","(X)","(X)"
"Total households","7,897","±375","4,559","±326","523","±168","603","±164","2,212","±354"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","37.2%","±3.3","49.8%","±4.8","50.7%","±16.9","63.7%","±13.5","1.0%","±1.2"
"        Households with one or more people 60 years and over","32.6%","±3.0","34.0%","±4.4","36.3%","±14.8","19.2%","±10.0","32.7%","±6.7"
"        Households with one or more people 65 years and over","22.3%","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","25.0%","±4.9"
"        Householder living alone","19.3%","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","68.8%","±6.9"
"            65 years and over","5.1%","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","18.1%","±4.4"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","70.8%","±2.5","85.1%","±3.7","62.1%","±14.6","53.2%","±16.1","48.1%","±6.6"
"        2-or-more-unit structures","29.2%","±2.5","14.9%","±3.7","37.9%","±14.6","46.8%","±16.1","51.9%","±6.6"
"        Mobile homes and all other types of units","0.0%","±0.5","0.0%","±0.9","0.0%","±7.4","0.0%","±6.4","0.0%","±1.8"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","64.6%","±3.6","74.4%","±5.0","38.0%","±15.2","49.6%","±14.5","54.7%","±7.4"
"        Renter-occupied housing units","35.4%","±3.6","25.6%","±5.0","62.0%","±15.2","50.4%","±14.5","45.3%","±7.4"
