"Label (Grouping)","Herndon town, Virginia!!Total!!Estimate","Herndon town, Virginia!!Total!!Margin of Error","Herndon town, Virginia!!Married-couple family household!!Estimate","Herndon town, Virginia!!Married-couple family household!!Margin of Error","Herndon town, Virginia!!Male householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Male householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Female householder, no spouse present, family household!!Estimate","Herndon town, Virginia!!Female householder, no spouse present, family household!!Margin of Error","Herndon town, Virginia!!Nonfamily household!!Estimate","Herndon town, Virginia!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","7,815","±326","4,461","±412","568","±229","681","±163","2,105","±276"
"    Average household size","3.14","±0.13","3.66","±0.16","4.18","±0.86","3.99","±0.57","1.47","±0.17"
"FAMILIES","","","","","","","","","",""
"    Total families","5,710","±300","4,461","±412","568","±229","681","±163","(X)","(X)"
"    Average family size","3.47","±0.14","3.49","±0.17","3.23","±0.45","3.57","±0.44","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","2,549","±325","1,903","±369","281","±155","365","±156","(X)","(X)"
"        Under 6 years only","28.0%","±7.0","29.6%","±8.2","7.5%","±10.4","35.1%","±24.7","(X)","(X)"
"        Under 6 years and 6 to 17 years","24.2%","±6.2","25.4%","±7.0","26.7%","±26.1","16.2%","±14.3","(X)","(X)"
"        6 to 17 years only","47.8%","±7.0","44.9%","±8.7","65.8%","±28.1","48.8%","±23.1","(X)","(X)"
"Total households","7,815","±326","4,461","±412","568","±229","681","±163","2,105","±276"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","35.4%","±3.7","46.3%","±5.5","49.5%","±14.3","56.5%","±14.5","1.7%","±2.1"
"        Households with one or more people 60 years and over","34.0%","±3.6","36.0%","±4.8","38.6%","±22.2","25.7%","±10.3","31.0%","±6.8"
"        Households with one or more people 65 years and over","23.2%","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","24.8%","±5.7"
"        Householder living alone","19.0%","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","70.7%","±8.2"
"            65 years and over","5.3%","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","19.5%","±5.6"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","72.0%","±3.1","87.0%","±2.9","68.7%","±16.9","55.4%","±16.8","46.4%","±6.5"
"        2-or-more-unit structures","28.0%","±3.1","13.0%","±2.9","31.3%","±16.9","44.6%","±16.8","53.6%","±6.5"
"        Mobile homes and all other types of units","0.0%","±0.5","0.0%","±0.9","0.0%","±6.8","0.0%","±5.7","0.0%","±1.9"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","62.7%","±3.7","74.5%","±5.4","32.0%","±12.5","47.7%","±13.3","50.7%","±7.6"
"        Renter-occupied housing units","37.3%","±3.7","25.5%","±5.4","68.0%","±12.5","52.3%","±13.3","49.3%","±7.6"
